"('January 2024', 'Unnamed: 0_level_1')","('January 2024', 'Gold Price (24 Karat)')","('January 2024', 'Gold Price (22 Karat)')","('January 2024', 'Gold Price (18 Karat)')","('January 2024', 'Gold Price (14 Karat)')","('January 2024', 'Gold Price (10 Karat)')","('Month', '')",January 2024 Unnamed: 0_level_1,January 2024 Gold Price (24 Karat),January 2024 Gold Price (22 Karat),January 2024 Gold Price (18 Karat),January 2024 Gold Price (14 Karat),January 2024 Gold Price (10 Karat),Month
1 Jan,"₹171,905","₹157,580","₹128,929","₹100,278","₹71,627",Unknown,,,,,,,
2 Jan,"₹171,465","₹157,176","₹128,599","₹100,021","₹71,444",Unknown,,,,,,,
3 Jan,"₹170,149","₹155,970","₹127,612","₹99,254","₹70,895",Unknown,,,,,,,
4 Jan,"₹170,079","₹155,906","₹127,559","₹99,213","₹70,866",Unknown,,,,,,,
5 Jan,"₹170,171","₹155,990","₹127,628","₹99,266","₹70,905",Unknown,,,,,,,
8 Jan,"₹168,512","₹154,470","₹126,384","₹98,299","₹70,213",Unknown,,,,,,,
9 Jan,"₹168,716","₹154,656","₹126,537","₹98,417","₹70,298",Unknown,,,,,,,
10 Jan,"₹168,148","₹154,136","₹126,111","₹98,086","₹70,062",Unknown,,,,,,,
11 Jan,"₹168,918","₹154,842","₹126,689","₹98,536","₹70,383",Unknown,,,,,,,
12 Jan,"₹169,835","₹155,682","₹127,376","₹99,070","₹70,765",Unknown,,,,,,,
15 Jan,"₹170,175","₹155,994","₹127,632","₹99,269","₹70,906",Unknown,,,,,,,
16 Jan,"₹168,385","₹154,353","₹126,289","₹98,224","₹70,160",Unknown,,,,,,,
17 Jan,"₹167,144","₹153,215","₹125,358","₹97,501","₹69,643",Unknown,,,,,,,
18 Jan,"₹168,180","₹154,165","₹126,135","₹98,105","₹70,075",Unknown,,,,,,,
19 Jan,"₹168,708","₹154,649","₹126,531","₹98,413","₹70,295",Unknown,,,,,,,
22 Jan,"₹167,987","₹153,988","₹125,990","₹97,993","₹69,995",Unknown,,,,,,,
23 Jan,"₹168,805","₹154,738","₹126,604","₹98,470","₹70,335",Unknown,,,,,,,
24 Jan,"₹167,596","₹153,630","₹125,697","₹97,764","₹69,832",Unknown,,,,,,,
25 Jan,"₹168,052","₹154,047","₹126,039","₹98,030","₹70,021",Unknown,,,,,,,
26 Jan,"₹167,779","₹153,797","₹125,834","₹97,871","₹69,908",Unknown,,,,,,,
29 Jan,"₹168,867","₹154,795","₹126,650","₹98,506","₹70,361",Unknown,,,,,,,
30 Jan,"₹169,226","₹155,124","₹126,920","₹98,715","₹70,511",Unknown,,,,,,,
31 Jan,"₹169,602","₹155,469","₹127,202","₹98,935","₹70,668",Unknown,,,,,,,
